"n";"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude";"localidad"
"828";"Hola! @CanelaRadioEc quisiera escuchar #FelicesLos4 de @maluma gracias";FALSE;0;NA;2017-07-12 23:58:51;FALSE;NA;"885287370433626112";NA;"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>";"fcastroperrone";0;FALSE;FALSE;NA;NA;"Guayaquil, Ecuador"
"829";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/YW0TtLifl1";FALSE;0;NA;2017-07-12 23:56:00;FALSE;NA;"885286653589413888";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"RodrigoPulgar1";3;TRUE;FALSE;NA;NA;"Quito - Ecuador"
"830";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/YW0TtLifl1";FALSE;0;NA;2017-07-12 23:55:33;FALSE;NA;"885286539953139712";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"misama1487";3;TRUE;FALSE;NA;NA;""
"831";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/QpcaVPnltX";FALSE;0;NA;2017-07-12 23:54:30;FALSE;NA;"885286276966100992";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"misama1487";2;TRUE;FALSE;NA;NA;""
"832";"RT @dulceanahi_1490: @Radiaciont@CanelaRadioEc @LoroHomero @lrivadeneiras @PATODIAZGUEVARA @PasanteCanela  por favor ayúdenos compartiendo…";FALSE;0;NA;2017-07-12 23:54:05;FALSE;NA;"885286170141351936";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"soloparaopinar7";31;TRUE;FALSE;NA;NA;""
"833";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/QOvQxGjSbg";FALSE;0;NA;2017-07-12 23:53:44;FALSE;NA;"885286082413199361";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"misama1487";3;TRUE;FALSE;NA;NA;""
"834";"#TienesQueSerFeliz https://t.co/P9t3zXoAep";FALSE;2;NA;2017-07-12 23:52:55;FALSE;NA;"885285876489740288";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"CanelaRadioEc";0;FALSE;FALSE;NA;NA;""
"835";"#TienesQueSerFeliz https://t.co/bLBGPY0t37";FALSE;3;NA;2017-07-12 23:52:47;FALSE;NA;"885285844604596225";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"CanelaRadioEc";0;FALSE;FALSE;NA;NA;""
"836";"#TienesQueSerFeliz https://t.co/EVEwXN51Ni";FALSE;3;NA;2017-07-12 23:52:39;FALSE;NA;"885285809548644352";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"CanelaRadioEc";0;FALSE;FALSE;NA;NA;""
"837";"#TienesQueSerFeliz https://t.co/DyDyBousXM";FALSE;4;NA;2017-07-12 23:52:32;FALSE;NA;"885285780796649474";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"CanelaRadioEc";0;FALSE;FALSE;NA;NA;""
"838";"#TienesQueSerFeliz https://t.co/vh1gnpfGbr";FALSE;7;NA;2017-07-12 23:52:25;FALSE;NA;"885285752162136064";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"CanelaRadioEc";0;FALSE;FALSE;NA;NA;""
"839";"#TienesQueSerFeliz https://t.co/qCAXxXAOAY";FALSE;4;NA;2017-07-12 23:52:19;FALSE;NA;"885285725939404801";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"CanelaRadioEc";0;FALSE;FALSE;NA;NA;""
"840";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/IsdKX1mxDb";FALSE;0;NA;2017-07-12 23:52:14;FALSE;NA;"885285704296738817";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"misama1487";17;TRUE;FALSE;NA;NA;""
"841";"#TienesQueSerFeliz https://t.co/DmOIeeNU8b";FALSE;3;NA;2017-07-12 23:52:13;FALSE;NA;"885285700261773312";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"CanelaRadioEc";0;FALSE;FALSE;NA;NA;""
"842";"#TienesQueSerFeliz https://t.co/8K30rz7gL6";FALSE;2;NA;2017-07-12 23:52:06;FALSE;NA;"885285671505735680";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"CanelaRadioEc";0;FALSE;FALSE;NA;NA;""
"843";"#TienesQueSerFeliz https://t.co/6aR86tTd09";FALSE;2;NA;2017-07-12 23:51:55;FALSE;NA;"885285625909448705";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"CanelaRadioEc";0;FALSE;FALSE;NA;NA;""
"844";"#TienesQueSerFeliz https://t.co/kmhld8lhic";FALSE;2;NA;2017-07-12 23:51:49;FALSE;NA;"885285599049117696";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"CanelaRadioEc";0;FALSE;FALSE;NA;NA;""
"845";"#TienesQueSerFeliz https://t.co/7jTdnCTEGj";FALSE;2;NA;2017-07-12 23:51:43;FALSE;NA;"885285574122381312";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"CanelaRadioEc";0;FALSE;FALSE;NA;NA;""
