"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@HilaryDuff es víctima de la delincuencia en su casa de Beverly Hills",FALSE,0,"HilaryDuff",2017-07-27 21:00:01,FALSE,NA,"890678181807575040","200913899","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"El cuarteto irlandés @U2 lanzará su próximo disco, “Songs of Experience”, en diciembre de 2017",FALSE,1,NA,2017-07-27 20:30:01,FALSE,NA,"890670634648215552",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",1,FALSE,FALSE,NA,NA
"Mañana es el estreno mundial de ""Wasamara"" de Sie7e ft. Feid",FALSE,0,NA,2017-07-27 20:00:02,FALSE,NA,"890663086830604288",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"https://t.co/qTwRqrC7vD",FALSE,0,NA,2017-07-27 19:30:01,FALSE,NA,"890655534516387840",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"https://t.co/ry4iZSzXor",FALSE,0,NA,2017-07-27 19:00:01,FALSE,NA,"890647982516748290",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"Visitar la casa donde inicié #increible gracias @labrujaecuador  por valorar a @MBNECUADOR mi cariño y gratitud… https://t.co/GtjC65pglU",FALSE,0,NA,2017-07-27 18:43:13,TRUE,NA,"890643754851246080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MBNECUADOR",0,FALSE,FALSE,NA,NA
"@labrujaecuador  me pueden poner la cancion de #heydj de @CNCOmusic  y porfavor un saludo para @CNCOEcuadorVIP ... gracias....",FALSE,0,"labrujaecuador",2017-07-27 18:39:11,FALSE,NA,"890642741431902208","82985256","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","teffarojas27",0,FALSE,FALSE,NA,NA
"RT @RiveristasEc: Ven a bailar con @GdZOficial pero esta vez con @_CarlosRivera <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BD><ed><U+00B2><U+0083><ed><U+00A0><U+00BD><ed><U+00B2><U+0083>
#LoDigo suena a todo volumen en #Ecuador gracias @labru…",FALSE,0,NA,2017-07-27 18:36:52,FALSE,NA,"890642157522087936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chikariverista",3,TRUE,FALSE,NA,NA
"Nicolas Cage es emplazado por organización que lo acusa de ""apoyar"" el régimen autoritario de Kazajistán",FALSE,0,NA,2017-07-27 18:30:01,FALSE,NA,"890640432467783680",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"Yo seré la tinta y tu mi hoja de papel <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BC><ed><U+00BE><U+00A4> @labrujaecuador  me pueden complacer con #Ven de @PabloJaraEc <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> @TeamPJaraUIO  <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>muchas gracias",FALSE,1,NA,2017-07-27 18:27:55,FALSE,NA,"890639904782163968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Michuw1",0,FALSE,FALSE,NA,NA
"Justin Bieber atropella accidentalmente con su auto a un fotógrafo",FALSE,0,NA,2017-07-27 18:00:03,FALSE,NA,"890632891952238593",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"RT @RiveristasEc: Ven a bailar con @GdZOficial pero esta vez con @_CarlosRivera <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BD><ed><U+00B2><U+0083><ed><U+00A0><U+00BD><ed><U+00B2><U+0083>
#LoDigo suena a todo volumen en #Ecuador gracias @labru…",FALSE,0,NA,2017-07-27 17:41:50,FALSE,NA,"890628306621546497",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tamyocampot",3,TRUE,FALSE,NA,NA
"Angelina Jolie habla que tuvo problemas de salud que sufrió tras su divorcio con Brad Pitt",FALSE,1,NA,2017-07-27 17:30:01,FALSE,NA,"890625336408494080",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"RT @RiveristasEc: Ven a bailar con @GdZOficial pero esta vez con @_CarlosRivera <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BD><ed><U+00B2><U+0083><ed><U+00A0><U+00BD><ed><U+00B2><U+0083>
#LoDigo suena a todo volumen en #Ecuador gracias @labru…",FALSE,0,NA,2017-07-27 17:20:31,FALSE,NA,"890622945646624768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KarenRiveristaE",3,TRUE,FALSE,NA,NA
"Ven a bailar con @GdZOficial pero esta vez con @_CarlosRivera <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BD><ed><U+00B2><U+0083><ed><U+00A0><U+00BD><ed><U+00B2><U+0083>
#LoDigo suena a todo volumen en #Ecuador gracias… https://t.co/FaDsHeWll7",FALSE,7,NA,2017-07-27 17:15:19,TRUE,NA,"890621635778285569",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RiveristasEc",3,FALSE,FALSE,NA,NA
"Protagonista de ""Ciudad de Dios"" rendirá tributo a David Bowie en Chile",FALSE,1,NA,2017-07-27 17:00:00,FALSE,NA,"890617782286524417",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
