"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@CanelaRadioEc Hola acoliten  con una entrada para salsa viva por favoooorrrrrr!!!!!!<ed><U+00A0><U+00BD><ed><U+00B8><U+0089><ed><U+00A0><U+00BD><ed><U+00B8><U+0089><ed><U+00A0><U+00BD><ed><U+00B8><U+0089>",FALSE,0,"CanelaRadioEc",2017-07-29 17:21:07,FALSE,NA,"891347868841373696","2411790656","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","barcemaurinho",0,FALSE,FALSE,NA,NA
"@CanelaRadioEc  buen producto sopa instantánea",FALSE,0,"CanelaRadioEc",2017-07-29 17:15:30,FALSE,NA,"891346459009978369","2411790656","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zackguaman2009",0,FALSE,FALSE,NA,NA
"@CanelaRadioEc  me gustaría estar en desayuno canela mi nombre es Luis Guaman",FALSE,0,"CanelaRadioEc",2017-07-29 17:13:59,FALSE,NA,"891346073926742016","2411790656","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zackguaman2009",0,FALSE,FALSE,NA,NA
"@CanelaRadioEc buena música y buena programación",FALSE,0,"CanelaRadioEc",2017-07-29 17:05:16,FALSE,NA,"891343882033799169","2411790656","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zackguaman2009",0,FALSE,FALSE,NA,NA
"RT @crisjativa: Y aqui con la voz q apasiona #Radiaciontemprana en @canelaradioec... Ayer parecias la hermana de… https://t.co/iqypz4CiMQ",FALSE,0,NA,2017-07-29 17:00:52,FALSE,NA,"891342776104869890",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlejaDuqueR",1,TRUE,FALSE,NA,NA
"Persistencia es mi segundo nombre <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>jjj  entradita para #salsaviva plis https://t.co/CoFxdwK2je no los puedo llamar @CanelaRadioEc todo jj",FALSE,1,NA,2017-07-29 16:54:30,FALSE,NA,"891341170642747392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DcTatoo",0,FALSE,FALSE,NA,NA
"Victor Manuel de manabi canta bien jjjjj  #salsaviva lo mejor , una entradita  https://t.co/CoFxdwK2je <ed><U+00A0><U+00BC><ed><U+00BE><U+009F><U+2714><ed><U+00A0><U+00BC><ed><U+00BE><U+009F><U+2714><ed><U+00A0><U+00BC><ed><U+00BE><U+009F><U+2714><ed><U+00A0><U+00BC><ed><U+00BE><U+009F><U+2714> @CanelaRadioEc",FALSE,1,NA,2017-07-29 16:36:43,FALSE,NA,"891336695169372160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DcTatoo",0,FALSE,FALSE,NA,NA
"""Estoy sin voz "" no los puedo llamar una entradita #salsaviva pliiíiiis @canelaradioec <U+2714><U+2714><U+2714><U+2714><U+2714><U+2714> https://t.co/CoFxdwK2je",FALSE,1,NA,2017-07-29 16:24:04,FALSE,NA,"891333514859335681",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DcTatoo",0,FALSE,FALSE,NA,NA
"Y aqui con la voz q apasiona #Radiaciontemprana en @canelaradioec... Ayer parecias la hermana de… https://t.co/iqypz4CiMQ",FALSE,0,NA,2017-07-29 16:03:10,FALSE,NA,"891328254468124680",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","crisjativa",1,FALSE,FALSE,"-78.4788","-0.18356"
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/xAnRumLrRz",FALSE,0,NA,2017-07-29 15:51:05,FALSE,NA,"891325211248906240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","xavi_xq",7,TRUE,FALSE,NA,NA
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/G0xrX8OEG8",FALSE,0,NA,2017-07-29 12:22:31,FALSE,NA,"891272724882087936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","imbaqingo",3,TRUE,FALSE,NA,NA
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/rbvFya1oXG",FALSE,0,NA,2017-07-29 12:21:56,FALSE,NA,"891272580119875584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","imbaqingo",5,TRUE,FALSE,NA,NA
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/Zywb5Z6C2n",FALSE,0,NA,2017-07-29 12:21:32,FALSE,NA,"891272479796232193",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","imbaqingo",4,TRUE,FALSE,NA,NA
