;text;favorited;favoriteCount;replyToSN;created;truncated;replyToSID;id;replyToUID;statusSource;screenName;retweetCount;isRetweet;retweeted;longitude;latitude;
54;RT @tamyocampot: @JoyaStereo @EdwinCardenas Siiii linda noche de viernes con toda la actitud... <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> https://t.co/z2qoXtNEYv;FALSE;0;NA;08/07/2017 6:26;FALSE;NA;8,84E+17;NA;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";kate1982marilyn;2;TRUE;FALSE;NA;NA;
55;RT @AndresSacotoA: Me encantó estrenar #SonidosDeColor con ustedes amigos @JoyaStereo un honor!! Abazos a todos por allá!!! #VivaElAmor @ru…;FALSE;0;NA;08/07/2017 5:08;FALSE;NA;8,84E+17;NA;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";gustavo_oso;5;TRUE;FALSE;NA;NA;
56;@JoyaStereo @EdwinCardenas Un ángel para que nos cuide este rincón de semana @EdwinCardenas #JoyaStereo https://t.co/ylOZ1NUpg0;FALSE;3;JoyaStereo;08/07/2017 2:52;FALSE;8,83E+17;8,84E+17;275140097;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";tamyocampot;2;FALSE;FALSE;NA;NA;
57;@JoyaStereo @EdwinCardenas Un angelito para que nos cuide el fin de semana https://t.co/Lu7XbZxN73;FALSE;7;JoyaStereo;08/07/2017 2:32;FALSE;8,83E+17;8,84E+17;275140097;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";tamyocampot;2;FALSE;FALSE;NA;NA;
58;@JoyaStereo @EdwinCardenas Buena noche mi kerido Edwin exelente fin de semana q dios te bendiga hoy y siempre <ed><U+00A0><U+00BE><ed><U+00B4><U+0097><ed><U+00A0><U+00BE><ed><U+00B4><U+0097><ed><U+00A0><U+00BE><ed><U+00B4><U+0097>;FALSE;2;JoyaStereo;08/07/2017 2:30;FALSE;8,83E+17;8,84E+17;275140097;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";gladys_jeaneth;0;FALSE;FALSE;NA;NA;
59;@JoyaStereo @EdwinCardenas Linda noche mi kerido Edwin q dios te bendiga hoy y siempre gracias por tu grata compania <ed><U+00A0><U+00BE><ed><U+00B4><U+0097><ed><U+00A0><U+00BE><ed><U+00B4><U+0097><ed><U+00A0><U+00BE><ed><U+00B4><U+0097>;FALSE;2;JoyaStereo;08/07/2017 2:29;FALSE;8,83E+17;8,84E+17;275140097;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";gladys_jeaneth;0;FALSE;FALSE;NA;NA;
60;@JoyaStereo @EdwinCardenas Niño póngase el himno jajaja o la macarena.. Gracias;FALSE;2;JoyaStereo;08/07/2017 2:24;FALSE;8,83E+17;8,84E+17;275140097;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";JessicaVasque30;0;FALSE;FALSE;NA;NA;
61;RT @tamyocampot: @JoyaStereo @EdwinCardenas Siiii linda noche de viernes con toda la actitud... <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> https://t.co/z2qoXtNEYv;FALSE;0;NA;08/07/2017 2:04;FALSE;NA;8,84E+17;NA;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";tamyocampot;2;TRUE;FALSE;NA;NA;
62;RT @Meli_Magdiel: @JoyaStereo @EdwinCardenas @RiveristasEc presentes, hermosa noche <ed><U+00A0><U+00BD><ed><U+00B8><U+0099>;FALSE;0;NA;08/07/2017 2:04;FALSE;NA;8,84E+17;NA;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";tamyocampot;1;TRUE;FALSE;NA;NA;
63;RT @MileCRfan: @JoyaStereo @EdwinCardenas Hola Edwin! Espero que hayas tenido un excelente viernes! Porfa me complaces con la canción Que L…;FALSE;0;NA;08/07/2017 2:04;FALSE;NA;8,84E+17;NA;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";tamyocampot;1;TRUE;FALSE;NA;NA;
64;RT @RiveristasEc: @JoyaStereo @EdwinCardenas Así es las #Riveristas presentes escuchando el mejor programa de las noches!;FALSE;0;NA;08/07/2017 2:04;FALSE;NA;8,84E+17;NA;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";tamyocampot;1;TRUE;FALSE;NA;NA;
